lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
masina,car,PRISMAF11,PRISMAF,1501437319,1501438034,1501438743,1501439476,1501440215,1501441916,1501701263,63,car,1,4350.8
pinigine,wallet,PRISMAF11,PRISMAF,1501437331,1501438008,1501438685,1501439460,1501440191,1501441921,1501701268,27,bird,0,4351.283333
laikrodis,clock,PRISMAF11,PRISMAF,1501437341,1501438086,1501438781,1501439558,1501440277,1501441956,1501701282,3,unsure,0,4350.083333
laiptelis,stair,PRISMAF11,PRISMAF,1501437353,1501438072,1501438771,1501439508,1501440247,1501441938,1501701277,3,unsure,0,4350.5
kumpis,ham,PRISMAF11,PRISMAF,1501437369,1501438122,1501438759,1501439522,1501440261,1501441952,1501701280,78,unsure,0,4350.316667
duona,bread,PRISMAF11,PRISMAF,1501437381,1501438102,1501438793,1501439546,1501440231,1501441941,1501701285,11,building,0,4350.9
vaistas,drug,PRISMAF11,PRISMAF,1501437395,1501438112,1501438805,1501439534,1501440293,1501441963,1501701290,50,brother,0,4349.95
pastatas,building,PRISMAF12,PRISMAF,1501628849,1501629583,1501630231,1501630965,1501631608,1501633221,1501860453,100,building,1,3814.083333
mesa,meat,PRISMAF12,PRISMAF,1501628861,1501629557,1501630287,1501630935,1501631632,1501633215,1501860458,98,table,0,3813.766667
kreida,chalk,PRISMAF12,PRISMAF,1501628875,1501629541,1501630247,1501630985,1501631622,1501633211,1501860474,100,chalk,1,3814.2
bugnas,drum,PRISMAF12,PRISMAF,1501628889,1501629571,1501630261,1501630975,1501631642,1501633230,1501860465,100,pants,0,3813.716667
muilas,soap,PRISMAF12,PRISMAF,1501628901,1501629597,1501630277,1501630951,1501631652,1501633226,1501860476,100,unsure,0,3813.733333
rusys,basement,PRISMAF12,PRISMAF,1501628917,1501629639,1501630327,1501631027,1501631680,1501633233,1501860482,100,school,0,3813.366667
mokykla,school,PRISMAF12,PRISMAF,1501628931,1501629651,1501630355,1501631051,1501631716,1501633244,1501860489,99,school,1,3812.883333
dirzas,belt,PRISMAF12,PRISMAF,1501628947,1501629661,1501630339,1501630999,1501631668,1501633247,1501860495,90,unsure,0,3813.783333
pupa,bean,PRISMAF12,PRISMAF,1501628959,1501629611,1501630299,1501631039,1501631692,1501633240,1501860501,92,bean,1,3813.483333
nafta,oil,PRISMAF12,PRISMAF,1501628975,1501629625,1501630313,1501631011,1501631706,1501633236,1501860491,100,oil,1,3813.083333
sausainis,cookie,PRISMAF12,PRISMAF,1501628985,1501629717,1501630425,1501631103,1501631762,1501633262,1501860517,89,cookie,1,3812.583333
purvas,dirt,PRISMAF12,PRISMAF,1501628995,1501629727,1501630393,1501631091,1501631772,1501633266,1501860523,61,unsure,0,3812.516667
traukinys,train,PRISMAF12,PRISMAF,1501629005,1501629673,1501630367,1501631063,1501631740,1501633258,1501860504,91,unsure,0,3812.733333
arbata,tea,PRISMAF12,PRISMAF,1501629015,1501629689,1501630409,1501631113,1501631726,1501633251,1501860512,91,hat,0,3813.1
smuikas,violin,PRISMAF12,PRISMAF,1501629031,1501629705,1501630383,1501631079,1501631752,1501633254,1501860527,100,unsure,0,3812.916667
burna,mouth,PRISMAF12,PRISMAF,1501629047,1501629801,1501630467,1501631177,1501631840,1501633275,1501860538,89,mouth,1,3811.633333
daina,song,PRISMAF12,PRISMAF,1501629057,1501629785,1501630437,1501631163,1501631828,1501633286,1501860547,62,unsure,0,3811.983333
zele,jelly,PRISMAF12,PRISMAF,1501629073,1501629769,1501630491,1501631127,1501631814,1501633282,1501860534,100,jelly,1,3812
kriaukle,sink,PRISMAF12,PRISMAF,1501629083,1501629753,1501630477,1501631137,1501631786,1501633279,1501860543,51,unsure,0,3812.616667
kamuolys,ball,PRISMAF12,PRISMAF,1501629093,1501629737,1501630451,1501631149,1501631800,1501633271,1501860556,50,unsure,0,3812.6
gelezis,iron,PRISMAF12,PRISMAF,1501629103,1501629873,1501630563,1501631235,1501631906,1501633289,1501860569,66,jealousy,0,3811.05
kardas,sword,PRISMAF12,PRISMAF,1501629119,1501629813,1501630553,1501631251,1501631896,1501633303,1501860576,63,unsure,0,3811.333333
tiltas,bridge,PRISMAF12,PRISMAF,1501629133,1501629857,1501630523,1501631219,1501631854,1501633299,1501860579,67,table,0,3812.083333
smegenys,brain,PRISMAF12,PRISMAF,1501629143,1501629841,1501630539,1501631205,1501631880,1501633296,1501860564,99,unsure,0,3811.4
sesuo,sister,PRISMAF12,PRISMAF,1501629159,1501629827,1501630507,1501631189,1501631868,1501633293,1501860561,99,sister,1,3811.55
padazas,gravy,PRISMAF12,PRISMAF,1501629175,1501629883,1501630599,1501631263,1501631958,1501633323,1501860598,34,unsure,0,3810.666667
plyta,brick,PRISMAF12,PRISMAF,1501629187,1501629911,1501630583,1501631295,1501631974,1501633308,1501860585,63,brick,1,3810.183333
